U,V
7.350162,-15.5
6.250162,-12.5
5.350162,-10
4.650162,-7.9
4.050162,-6
3.550162,-4.2
3.150162,-2.5
2.850162,-0.7
2.550162,0.9
2.250162,2.5
1.950162,3.5
1.750162,4
1.550162,4.1
1.250162,4.1
0.9501618,4.4
0.3501618,5.3
-0.2498383,6.6
-1.049838,8.1
-1.549838,9.1
-1.949838,9.7
-1.949838,9.6
-1.849838,9.5
-1.549838,9.5
-1.349838,9.6
-1.249838,9.7
-1.149838,9.6
-0.9498383,9.400001
-0.5498382,9.3
0.05016175,9.5
19.65016,19
22.25016,20.5
24.55016,21.2
26.85016,21.1
29.25016,20.2
32.15016,18.3
34.75016,15.6
36.85016,12.5
38.35016,9.400001
39.85016,6.2
41.15016,2.8
42.55016,-0.5
43.65016,-3.8
44.55016,-7.1
44.75016,-10.2
45.05016,-12.8
45.65016,-15.3
46.95016,-17.8
47.85016,-20.3
48.05016,-22.9
47.45016,-25.6
46.45016,-28.3
44.85016,-31
42.75016,-33.6
40.05016,-36
37.25016,-38.2
34.65016,-40
32.95016,-41.3
31.65016,-42.1
30.55016,-42.6
29.05016,-42.7
